#SampleID	biome	co2_interior	collection_device	collection_timestamp	crew_age_in_years	crew_birth_day	crew_birth_month	crew_birth_year	crew_gender	crew_height_cm	crew_id	crew_interaction	crew_phenotype	description	env_feature	env_material	feature	geo_loc_name	host_subject_id	latitude	longitude	material	orig_env_material	sample_origin	sample_type	sampling_day	sampling_month	sampling_year	series	showers_timing	supply_timing	temp_downstairs	temp_upstairs	temp_utility	time_sampling_days
12858.0BR.3.R1.fastq.gz	building	720.7453472	swab	2015-09-04	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	bed_room	building	dust	bed base	USA:HI:Weimea	BR	19.53693	-155.57406	polymer	plastic	BR	surface	4	9	2015	0	not applicable	before	16.61508534	17.24969136	26.85945274	0a
12858.0KC.2.R1.fastq.gz	building	720.7453472	swab	2015-09-04	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	kitchen_counter	building	dust	indoor kitchen	USA:HI:Weimea	KC	19.53693	-155.57406	plywood	wood	KC	surface	4	9	2015	0	not applicable	before	16.61508534	17.24969136	26.85945274	0a
12858.0MR.4.R1.fastq.gz	building	720.7453472	swab	2015-09-04	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	main_room	building	dust	living room	USA:HI:Weimea	MR	19.53693	-155.57406	polymer	plastic	MR	surface	4	9	2015	0	not applicable	before	16.61508534	17.24969136	26.85945274	0a
12858.0TB.1.R1.fastq.gz	building	720.7453472	swab	2015-09-04	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	toilet_bowl	building	dust	composting toilet	USA:HI:Weimea	TB	19.53693	-155.57406	polymer	plastic	TB	surface	4	9	2015	0	not applicable	before	16.61508534	17.24969136	26.85945274	0a
12858.NC0.108.R1.fastq.gz	laboratory environment	720.7453472	swab	2015-09-04	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	extraction-control	research facility	sterile water	molecularly controls	USA:HI:Weimea	NC0.108	19.53693	-155.57406	samplingequipment	samplingequipment	extraction-control	control blank	4	9	2015	0	not applicable	before	16.61508534	17.24969136	26.85945274	0a
12858.PCRnc2.48.R1.fastq.gz	laboratory environment	not applicable	swab	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	PCR-NC	research facility	sterile water	molecularly controls	USA:HI:Weimea	PCRnc2.48	19.53693	-155.57406	na	water	PCR-NC	control blank	not applicable	not applicable	not applicable	48	not applicable	before	not applicable	not applicable	not applicable	0a
12858.PCRnc3.80.R1.fastq.gz	laboratory environment	not applicable	swab	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	PCR-NC	research facility	sterile water	molecularly controls	USA:HI:Weimea	PCRnc3.80	19.53693	-155.57406	na	water	PCR-NC	control blank	not applicable	not applicable	not applicable	80	not applicable	before	not applicable	not applicable	not applicable	0a
12858.PCRnc4.115.R1.fastq.gz	laboratory environment	not applicable	swab	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	PCR-NC	research facility	sterile water	molecularly controls	USA:HI:Weimea	PCRnc4.115	19.53693	-155.57406	na	water	PCR-NC	control blank	not applicable	not applicable	not applicable	115	not applicable	before	not applicable	not applicable	not applicable	0a
12858.W.PCR1.NC.R1.fastq.gz	laboratory environment	not applicable	wipe	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	PCR-NC	research facility	sterile water	molecularly controls	USA:HI:Weimea	W.PCR1.NC	19.53693	-155.57406	na	water	PCR-NC	control blank	not applicable	not applicable	not applicable	1	not applicable	before	not applicable	not applicable	not applicable	0a
12858.W.PCR2.NC.R1.fastq.gz	laboratory environment	not applicable	wipe	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	PCR-NC	research facility	sterile water	molecularly controls	USA:HI:Weimea	W.PCR2.NC	19.53693	-155.57406	na	water	PCR-NC	control blank	not applicable	not applicable	not applicable	2	not applicable	before	not applicable	not applicable	not applicable	0a
12858.W.PCR4.NC.R1.fastq.gz	laboratory environment	not applicable	wipe	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	PCR-NC	research facility	sterile water	molecularly controls	USA:HI:Weimea	W.PCR4.NC	19.53693	-155.57406	na	water	PCR-NC	control blank	not applicable	not applicable	not applicable	4	not applicable	before	not applicable	not applicable	not applicable	0a
