sequence	16S_rRNA_Count	metadata_NSTI
0009c4297411ffafe8849275cf029a2a	2	0.14982
000d2558b8336f6ab6822b4aadca1e26	1	0.32866999999999996
000fde4c66ba120e01d84badf1303ee2	1	0.011872
001001604aabdeada6f4954d448276f9	1	0.349505
00115aaa1c8001bdcfd6204d720c3e68	1	0.062856
00186d04814225b24effc422762cdc82	1	0.10496199999999999
001f573e1383902946643bc92887c81a	1	0.038597
0027265b9dec479bdafb140a7de5f1e0	1	0.13875099999999999
002efa04020981df781e73ee121ab8f7	13	0.008018
0030cfc5ffa4b76821e240685e463666	1	0.163853
003312062b5097caf7660631398fb579	1	0.086008
0039be67851140e9e12b58aaffc5380f	1	0.06412799999999999
003e78489bdead72bae05598a0b9491d	1	0.385261
003f886465e43f351f0e6ff98cb2ae30	1	0.096194
00499646d601f9a96c9003b0640401da	1	0.032997000000000005
005015cd401c93387d03470e41c6bdac	1	0.011987000000000001
0050b8df4d30a6d6b3795ff51cab2c8e	1	0.06630599999999999
0055f9070caf1323625b9d0680575f03	1	0.015666
00590f65bd53fc2af7568ba947e0bcd9	10	2.581497
00591eb44fbb646ebf3908b4ab1e5981	1	0.063948
005e36c6eae000e807e85cc9837c451c	1	0.007993
005e92e6cff8df8e4ae7c0e0264a084a	1	0.033424
006852b3b3c86d014421e9d31a857fee	5	0.113728
006c9814909e88eb749240a8f2ca5717	1	0.029186
006d194261f4b246a1545a39aaddf176	1	0.206121
00780eb21a025a5c9ce08f814492bba8	1	0.710196
0080c5fca0a30da9ce129241ca883b6d	1	0.063726
008322f68ae3f4ab014c48b2bb2dcd1a	1	0.016145
0086e489b287fbca57cfe3bf6a81e510	3	0.037801
009230ebe5dc309a19224b62293ec61e	1	0.08330800000000001
00973f6ee30d6f2b38bca804f165a849	1	0.08551900000000001
00998aba27c9fbb50cc528dfbde0333b	10	2.581497
009a47d28086627966361ddcdd5c35d9	1	0.171235
00a94554f50b4b7fb55c0e22d1abd031	1	0.081696
00aa5d12e9280d3edf5afac8375a6cdf	1	0.334798
00acc8be75322ff1acaa1df503798e5b	1	0.08116
00af64793094db6f16d2a98d1eee2d29	1	1.7793720000000002
00b16cb42ed795fb8e05432cb8ee4e14	2	0.026914999999999998
00b5d2af02cb77d8f42caadc60d3e60b	1	0.052334000000000006
00be1b73490b9807e131afbf35c458b1	2	0.012134
00bfc5939365b4d9fd48b9e91e8379f6	1	0.130849
00c7b145ae7610b754e0f75b0ea73675	1	0.078418
00c99c2584c90d841ab63a794d77c0d4	1	0.026358
00cb05d3e47bbd4742ff4ca1b584e347	1	0.118093
00cd081e73a8cd670e2623a412a22e89	1	0.263973
00cee2b979d0bdfe48fa0b4739c7f239	2	0.052387
00d40b9b8dc934a8c5b6a8d2d357ef44	1	0.069663
00d653cbc7f7120956f6e982388b820b	1	0.050562
00d7702df636eee8e0a42181a928e4af	2	0.290699
00dd916d8937a90eea2e2a84b81dfbd8	1	0.044719
00de8f9adf5bb25f358797961fe02eeb	2	0.05321
00decd26bfc44f4f10a824edd6a5103f	2	0.15951700000000002
00e37348f45d7eef2ff9e9aa2fbc150c	1	0.026378
00e667baa9b50c1f13c044fa92e7e6e0	1	0.017346
00e83753ad88858aae7d29d5741fc96c	1	0.06976
00e9b9d51572f74ab47336463d96660b	1	0.099816
00ea4c305d5431428b00fe9daeaa5bf6	1	0.028239
00eb1e8f69a0f2a6f99e59ab801dce6f	2	0.012301000000000001
00f36b42d5e1a1c2fa065bfad31f526a	2	0.02483
00f3ea5736db9ae87b9734d06d9adabb	1	0.020380000000000002
00f76228412ec681d3b7dd1231bebf56	1	0.086596
00ffabc8f04cb9d391d507b5e85de4c2	1	0.098605
0104dfe5d8bc319e5fdef31496dc6e65	1	0.020578
010abd4493ef0e88145e12dcb5df195d	1	0.00805
0110e4ecdb741477954fe0090ea347ef	1	0.09043
01124a9e5878682698089e9cc43c89a2	2	0.088588
0115913a138157901ea4ef51cbdab445	1	0.574823
011b02ef630cd75b99ff479ff7ea83f5	1	0.028305
01244372134f23f1344909bb89cca5f2	1	0.087257
01246edae80cf44e49d249c211e69cf3	1	0.072918
0130bf3f4ade0a3ab0e291a19765dad0	1	0.077164
0132a5f6f8b8f2c1762ad2f3e47141e5	1	0.078598
0137853a146edd7bb918594b87430b5b	1	0.08141799999999999
013c60c6c3d710faca74712b0f71f874	1	0.071141
01439c56552463c3896e58e6bdfe4f8e	1	0.10321
014defeacded3c8fcd2fe3bf79066933	2	0.059577
014eeadc56b47e10a858429cb6dd681b	1	0.088892
0154dc8b3b690414552a63879ffc9984	10	2.581497
015a3cd0ddd6614e22fcebd2c5a163c6	1	0.06815800000000001
015e2e2dc8f941df880855fed7ad415e	1	0.028104
016369053bee43dc9caf0383be46824e	1	0.089129
0164dd7f3103484686fb98c1bada6ae3	1	0.011978
016a7a40f6e6927a6746dd89d173d9bc	1	0.037707
016acf1b219c91f581f0e29947f1673c	1	0.19200699999999998
0171f2cb4eb076f99e52129c19ec58ea	1	0.058575999999999996
0179da4e08ba7fc7795fd0802196ff00	1	0.043658999999999996
017bed2e88f2863998c6d2343a087243	1	0.117166
017eb9aa4a482e8e22a47de5b3a3a47e	1	0.000151
017f7e7d3378818bda5f1c4b3d866fe7	1	0.008006999999999998
01802418be0d00e3719d00857e0b23f7	10	2.581497
0182b3651345f45965e339952ca4bad4	1	0.012287000000000001
0184f249e221312310a31c233fc29db2	1	0.00798
018531e4bc09cd3ec49b58a974850fd7	1	0.07066599999999999
0189915b139e7ecfc31f22ccc8836948	1	0.025657
018b2b0c920a5b946f270b6f258840d2	3	0.008006000000000001
01943201183306a0f5e2281249e07562	1	0.038106
019cd6db95bf54daa74f34cba5ab0adc	1	0.077717
01a1e6d598c86489ba196a7319e0b855	2	0.106198
01a363c212d10195d9bca7cf4809333c	1	0.031373000000000005
01a753668e2f6af8cfc1c67cccf4b06a	1	0.007587999999999999
01a9541a9da03dd821ee0aa89a4dda7b	5	0.043207
01ae7c488d7771a76855ee02e3bacac0	2	0.082216
01bdc29e595f509a17d0efd1e561088f	1	0.16927899999999999
01bdf4edbba4338157b2cc4d24bd4a09	1	0.07875399999999999
01bf0612ee2a1c9b7669b0ce7314c900	1	0.199545
01bff1b23f9a7badce8e7a1116b9266f	1	0.068388
01c12f86459286983ab370b48cd7e691	1	0.119401
01c76108bf8696d30991e1590d0c70d8	1	0.008033
01c85d8520176ca66cb1ee17bb8dcf7a	2	0.026212
01c978c263711baa4f84fbf48413c861	1	0.012176000000000001
01cc4c7624eafc348601d435b17d1a11	1	0.012513
01d0acabaa54354412d0d4a83dd39f71	1	0.040945999999999996
01d3c2f40d2fe23a551772945a61b6b3	1	0.556424
01d4fad81e5d0701f02a36b7d513fc79	1	0.185341
01db095e2632cf9f0867cb4756f28829	1	0.09681000000000001
01e36766372c5bc3c5121b5714ce398f	1	0.135331
01eac0b6d90a49ef1cc32e930aafa33a	1	0.01624
01eb7c9c54f87a8c00aaca49bd72d93d	1	0.012320000000000001
01f1dc6646a1cf02f75e24f8beb8c3ab	1	0.12130099999999999
01f22ab356d96461b91c920aba539254	1	0.169967
01f8b59e1d288dd5a823508c68ff52a1	1	0.027905000000000003
01fa8eae2d21133f4ba32057e279c2f5	1	0.26526900000000003
02004c28a71aea0dcea9f23e03d8c271	2	0.083725
020088b7d2e60146950e5c798956dfe4	1	0.156448
0208edfb2a8c056d535943e0c10e294a	1	0.006495
0209c85bb84983b35d22a043e86b9179	1	0.156172
020b1ccdc9eb5f7ffc97e21b2ffb9a12	1	0.574823
021a2e7c1f6cfd0b7a4371b37f5d1ed9	1	0.06844700000000001
021ebe0e5387e3eea5d088dfd10ea9de	7	0.016452
0221b3564ba32fcdd7567c8fa854a545	1	0.40725700000000004
022702b9c85bf9bd75745e8b75adc2e8	1	0.24204699999999998
023085616af8fd21e7075cbb47334c7f	10	2.581497
0231997a71a589cba7b9d453bdd90b2b	1	0.022868
02325f9a2b21ecaadac19e97ef7315c0	1	0.030316000000000003
023c1bdd78d6440b2f2392a7c2bf95e2	1	0.008051
02536e66affbb710947825760ff9abef	1	0.016855000000000002
025691ec02cde6c523def683cff55d72	1	0.020181
02590249bcd7b5c6b65cc9b60b3bee6b	4	0.016162
0259d41cf2141b09eba259b75100d8d2	1	0.090121
025d974055aab37fc4df567ebc75b38d	1	0.150658
025e51fc91b06140114bf35b8cea22e9	1	0.045692
0260477ba43364d529ecd6df39e401ff	1	0.053801
0268a7b48416a732d93a467240796d6b	1	0.072738
026fc95d7fea2755997e6982451fde51	1	0.068152
027231fd80f0bc4ada51dfadd5205e7c	1	0.013857
0275a818ed8b40a045086341656ff333	2	0.012129000000000001
02768d3a78ddfbadb18d5ace1e2e0d11	1	0.015375
0277fb55d4bf09dbbd4615a16785af62	2	0.012128
027c2a1139ec0747202da4eb76431865	1	0.045131
