pathway	description	12858.0BR.3.R1.fastq.gz	12858.0KC.2.R1.fastq.gz	12858.0MR.4.R1.fastq.gz	12858.0TB.1.R1.fastq.gz	12858.10BR.49.R1.fastq.gz	12858.10KC.47.R1.fastq.gz	12858.10MR.50.R1.fastq.gz	12858.10TB.46.R1.fastq.gz	12858.11BR.52.R1.fastq.gz	12858.11KC.51.R1.fastq.gz	12858.11MR.53.R1.fastq.gz	12858.11TB.81.R1.fastq.gz	12858.12BR.56.R1.fastq.gz	12858.12KC.55.R1.fastq.gz	12858.12MR.57.R1.fastq.gz	12858.12TB.54.R1.fastq.gz	12858.13BR.60.R1.fastq.gz	12858.13KC.59.R1.fastq.gz	12858.13MR.61.R1.fastq.gz	12858.13TB.58.R1.fastq.gz	12858.14BR.64.R1.fastq.gz	12858.14KC.63.R1.fastq.gz	12858.14MR.65.R1.fastq.gz	12858.14TB.62.R1.fastq.gz	12858.15BR.68.R1.fastq.gz	12858.15KC.67.R1.fastq.gz	12858.15MR.69.R1.fastq.gz	12858.15TB.66.R1.fastq.gz	12858.16BR.72.R1.fastq.gz	12858.16KC.71.R1.fastq.gz	12858.16MR.73.R1.fastq.gz	12858.16TB.70.R1.fastq.gz	12858.17BR.76.R1.fastq.gz	12858.17KC.75.R1.fastq.gz	12858.17MR.77.R1.fastq.gz	12858.17TB.74.R1.fastq.gz	12858.18BR.82.R1.fastq.gz	12858.18KC.79.R1.fastq.gz	12858.18MR.83.R1.fastq.gz	12858.18TB.78.R1.fastq.gz	12858.19BR.86.R1.fastq.gz	12858.19KC.85.R1.fastq.gz	12858.19MR.87.R1.fastq.gz	12858.19TB.84.R1.fastq.gz	12858.1BR.7.R1.fastq.gz	12858.1KC.6.R1.fastq.gz	12858.1MR.8.R1.fastq.gz	12858.1TB.5.R1.fastq.gz	12858.20BR.90.R1.fastq.gz	12858.20KC.89.R1.fastq.gz	12858.20MR.91.R1.fastq.gz	12858.20TB.88.R1.fastq.gz	12858.21BR.94.R1.fastq.gz	12858.21KC.93.R1.fastq.gz	12858.21MR.95.R1.fastq.gz	12858.21TB.92.R1.fastq.gz	12858.22BR.98.R1.fastq.gz	12858.22KC.97.R1.fastq.gz	12858.22MR.99.R1.fastq.gz	12858.22TB.96.R1.fastq.gz	12858.23BR.102.R1.fastq.gz	12858.23KC.101.R1.fastq.gz	12858.23MR.103.R1.fastq.gz	12858.23TB.100.R1.fastq.gz	12858.24BR.106.R1.fastq.gz	12858.24KC.105.R1.fastq.gz	12858.24MR.107.R1.fastq.gz	12858.24TB.104.R1.fastq.gz	12858.2ABR.15.R1.fastq.gz	12858.2AKC.10.R1.fastq.gz	12858.2AMR.12.R1.fastq.gz	12858.2ATB.9.R1.fastq.gz	12858.2BBR.11.R1.fastq.gz	12858.2BKC.14.R1.fastq.gz	12858.2BMR.16.R1.fastq.gz	12858.2BTB.13.R1.fastq.gz	12858.3BR.19.R1.fastq.gz	12858.3KC.18.R1.fastq.gz	12858.3MR.20.R1.fastq.gz	12858.3TB.17.R1.fastq.gz	12858.4BR.23.R1.fastq.gz	12858.4KC.22.R1.fastq.gz	12858.4MR.25.R1.fastq.gz	12858.4TB.21.R1.fastq.gz	12858.5BR.28.R1.fastq.gz	12858.5KC.27.R1.fastq.gz	12858.5MR.29.R1.fastq.gz	12858.5TB.26.R1.fastq.gz	12858.6BR.32.R1.fastq.gz	12858.6KC.31.R1.fastq.gz	12858.6MR.33.R1.fastq.gz	12858.6TB.30.R1.fastq.gz	12858.7BR.36.R1.fastq.gz	12858.7KC.35.R1.fastq.gz	12858.7MR.37.R1.fastq.gz	12858.7TB.34.R1.fastq.gz	12858.8BR.40.R1.fastq.gz	12858.8KC.39.R1.fastq.gz	12858.8MR.41.R1.fastq.gz	12858.8TB.38.R1.fastq.gz	12858.9BR.44.R1.fastq.gz	12858.9KC.43.R1.fastq.gz	12858.9MR.45.R1.fastq.gz	12858.9TB.42.R1.fastq.gz
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	32347.744255846977	18981.90882543403	11398.266851747176	21140.27576854239	24950.16252215412	30672.64597767209	22741.76739317657	19012.297335996725	22210.1311589393	20122.74574145688	28031.383663401026	27774.728901544284	14218.284093354408	26898.987362511787	17935.204030961715	13609.091361420578	15116.363462523117	19028.965034252047	25064.93961670988	13331.963214340696	18272.83002248271	19642.77924130477	22866.35571101203	14521.387967141914	19192.884096808782	25061.187186742824	15478.431059417442	20168.3420007384	23174.196642785093	29272.10871648317	18737.14620599912	13034.639712777944	18968.56809881448	26900.437968983028	29196.221375945137	27474.288058050675	16815.32232037989	19799.7152301259	30326.02284186648	27321.07574965184	29780.405111271622	36134.846390204606	28451.863615535513	20465.25584184958	25575.965923564414	31970.594955583794	21956.454773400448	16218.358838426919	26380.33169760012	29343.27176872532	37314.81273751274	27280.563346702595	29942.286346555487	36760.72491599564	34415.82933431852	16971.400605042305	32409.63246566725	35410.421023522176	30278.223976492955	25102.038553291768	30298.85829210095	49186.96510717528	37623.66727670148	33488.39051551786	30562.64136806513	36655.89300365511	32931.55595711756	22242.766360010308	36472.94531158253	17548.928098969343	17964.90681165251	19540.77810999329	26573.88318351679	42194.190635936204	21604.149680052225	27786.50313705704	30180.458452083312	34327.197222571966	20453.6524915504	18904.781672534154	24764.2602140085	39708.383855647444	21262.727986528058	24113.01174253871	11256.606506117356	34681.777133931835	24713.676061222865	18785.4390605351	29642.14385625697	26932.573271615565	20286.002779876122	24754.718683980707	16553.180966462493	42529.5841492829	37132.52186340933	8694.628468302277	19248.389463089043	45656.80879457415	27884.084311952465	26134.232696732583	19104.83832882063	26052.810092234136	25527.62705480118	12705.72111198549
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	3595.3877840343202	1617.1757633014386	1476.4053937879962	3310.0241949611955	1777.8571433608015	5243.697182473054	1125.7202836366653	292.42261086025934	1796.7420931257766	1646.0464323885965	1913.6865353094065	1865.6941054435688	1750.822211061063	2863.7997046329415	1496.434554078328	565.4085700937467	1574.8626736957003	1553.2205534915631	794.542812243361	96.51300959271059	1401.1025810206518	1387.0324201987753	1681.8833194301153	198.88630052066003	986.0640251309084	2694.846322838801	1331.8767344137425	1249.3454303177534	2288.5320477273776	3081.759573125725	1500.295106353068	527.4155689605301	1425.0490429105387	4096.831988207139	2616.8483679149303	3476.516155731095	2740.830502590926	2796.127160847644	1975.5273318580746	2890.407018537678	1710.2690911134423	1986.1716515392318	2437.9814648722313	1827.0898742688116	1070.8394878440672	1896.6437335468204	2804.636256901464	545.1811436209807	1874.3782723947181	2226.4046080752387	1093.7186887165146	2293.156698429387	1975.625491426995	2890.7519569221663	2561.3311083453764	98.30535987747696	2604.554967562045	4257.079512210816	1952.1808859138853	841.7591027328008	1004.7248431634663	3766.1449398389973	2365.190119960683	1622.1389683287005	1756.712506228017	5044.176530662959	2109.2589486893175	757.0725240272575	3140.3077921765675	452.99013009155715	1545.5222914120307	1313.3565814698238	625.7093669526146	33704.58157345712	1206.7403354608996	1520.5352837550254	2143.765675200832	1637.6912342846572	1101.036267417012	1070.2900368020562	648.0743130338801	3734.6096057651107	1744.7938573270533	3541.782147340329	1508.9080513540423	3544.8114041719145	1416.056859678324	1048.7323693510357	1747.1445648552262	6404.505740438328	720.8492892593142	895.5578670390312	954.6681792988278	6807.944851539355	3975.040910580574	534.0725102355686	1467.8310687610526	6926.319515813039	916.8636884861497	1436.0366314624691	2407.822171101554	3311.751749515337	1620.3700239977868	1029.800792738757
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	11103.467940731993	4792.926331915901	4630.070909938349	2509.360599153718	12748.676079250701	15228.61280697406	13071.408717457141	2055.803634646657	10152.523229252503	6272.507509996313	14925.893933568716	5774.179826653117	6461.132114090589	10025.068888047186	8771.841893195355	2625.2724841175022	6711.872416940294	5673.420033582043	5040.207948851144	863.1121036745494	7539.6948953065785	4193.774863720327	11727.566059958664	2365.91365525482	8686.731399535081	8406.189670250005	9316.837545646646	5239.7872111656125	12451.143811958056	4310.952119208772	9088.016924439258	2523.666619556077	8175.796361463925	9831.411467788248	12586.604123700248	7197.326239488999	8232.794600731742	7094.485249129871	15431.944127238365	7104.588096367927	12498.128727505858	12579.787948703359	14810.499817507469	5676.042512135328	9165.436222058486	9973.922427573529	11855.585590540588	5166.940870376463	13664.79286187392	11284.81512156854	17119.59411954	8255.370496152012	13794.605609076703	14103.231690020795	17052.587542755664	1592.9299737248223	11142.12966841329	13427.17791546396	15342.476758800663	4829.230588535185	13733.369431480596	3414.1543228709497	15710.223401479887	9322.770328937686	11053.20007682136	11002.359563294816	14773.990418820633	5399.642611386147	18862.18693472421	8780.163009050277	9044.971157409464	4629.5528917255515	13198.367374583646	1465.604524799248	10016.747235213525	7170.181618399294	11152.82580757465	3075.942611662521	9700.30952444386	6449.756957714182	8732.95936329024	17723.127407776825	9206.339880900294	7707.714655467471	3462.6297385107914	15815.964847575051	13105.406015092825	6579.422702433289	8757.541545383614	11792.39068849765	10152.955397492758	6274.461713403242	7417.835604395371	15345.186010822998	18462.768524948824	3352.7359260834724	5592.194030336372	18011.644198313083	12958.024239137749	8142.86582904081	6786.890631134768	11598.318540553166	14794.442635771962	4391.746920783063
ANAEROFRUCAT-PWY	homolactic fermentation	32713.834175799464	26110.11884125783	12748.950407700313	24047.502138019197	24565.25439794244	29920.822223319094	23093.52248901825	28563.81520855324	23841.12849055394	17030.47454371064	27081.652875792555	32303.11999635969	16645.593660678787	23370.38897799547	18350.78860945742	15613.400662782213	16968.427132983434	16090.723058337322	11760.209962310531	19540.72636468921	19693.58993348968	15387.398577383554	21678.118948405558	19868.885355008388	19544.371586377823	21234.359750074284	16328.145458701347	24906.022638394188	24829.48284530166	19602.76199548984	13918.400629204287	16829.42495204855	15797.58182206654	23575.389379218857	23267.118158189238	33087.73323333713	13961.569157334463	16320.60740810691	30980.253822139613	29489.609145058173	30893.460745047974	29868.76950691355	23904.080930579268	27991.319369434146	30281.036735216207	23738.744227172974	19541.905403364977	22549.06077412104	24266.00058507275	25447.92411457024	40960.307654263626	29284.56124165681	28404.92099167713	32636.129624785888	35533.07681263242	25735.15760183969	34661.686687555695	30321.80441687889	28801.07099738416	32986.47292922298	30263.768571214234	26677.523651285253	36564.69603811014	40851.62247603832	34086.787482459826	26068.37240111023	32076.08786046334	27904.540116533666	37311.65615857674	24551.83924936788	17684.37455449219	25407.0515094044	28997.63794388969	10538.8997800163	33143.35755899353	31473.45625355065	32075.473367189883	38353.14996887774	23040.4710075569	25759.16404631664	26916.959827581464	35723.57070058176	22120.70375258983	26920.20602936833	7592.158248685797	33031.95406895487	24028.547782796828	18794.861328230516	33094.45711364046	24576.538920797568	21935.516592871933	31619.072065827506	22856.958281630566	32962.27598523335	34932.62968253974	10301.678180782934	25111.012523227906	35830.118378895866	32606.04987219541	36306.44688465357	20932.225299318798	24628.026536721827	24912.331389705872	14504.429481924499
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	33681.05428435966	27729.257088663082	12952.123778971809	27675.351097084054	26253.0734297603	32247.95607519037	24939.83079944627	29605.580220063082	24855.905109085063	19272.83059883893	28908.568747383688	33199.1145313681	17064.94393310482	24959.96708930033	19270.825333468914	17455.85714164924	17381.46608588309	17913.773683823656	12580.115626686345	19776.808601885503	20486.69296837745	17723.109008347583	23150.974028826673	20324.356633317544	20245.42157239548	25794.40934718477	17586.446938379948	24549.67549033716	26036.948261923644	27586.952267811117	16161.280503776366	16982.451972716623	16744.035008352625	27103.001621916905	26209.732704573467	33019.218351366115	16317.694196897693	20527.434988442106	33754.269302312925	31260.70662545857	31955.822263760372	34935.78240343882	27776.949460984277	28207.25469499996	30093.099796305567	27070.23181527596	21789.19237541028	22477.007649576844	27495.578824560675	30620.303032920187	42728.87276726185	31279.247545050133	30379.820682478912	38384.74663065421	38132.49791120342	25504.157637423243	36428.35065127127	35098.01164212483	31295.114272462866	32852.044021569534	31795.98681208449	32053.735502810963	38871.80093511746	41003.726062911686	35157.82031606432	33471.27112008282	34260.149079756986	27589.1289082644	39096.8821265983	25255.345595200986	18188.66046236141	26018.517098590182	31778.558134537816	19057.245348524964	33877.222566665696	34029.28481411232	32654.221187525865	35850.6385880409	23236.249763067553	25443.642991500186	27392.514514087423	40289.88867678768	23732.83783857446	27472.110148940286	9739.774878161048	35253.30160417908	25628.543207546943	20042.390524325634	33326.65263284187	26649.325585975475	22155.94221539036	31659.174577162885	23272.530121353397	40357.61365252874	38295.05369869108	10413.42585811218	25850.29294142966	43534.76704023879	33385.137987699825	36044.34835606603	21404.90433483077	25760.18328399456	26869.915140370293	14770.730744603054
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	7202.229263278142	2886.6723106760273	3007.8000717864484	7073.763049320915	10466.07775396403	11030.06875083177	9661.6801258533	6133.764842841584	8965.925125784079	10364.128745554677	12185.831860863655	9421.495023841928	6644.483588267871	9272.589954483385	7361.802632129616	5475.972959955463	6693.0918000587035	5121.204358565279	7207.155712184498	4567.773396172701	5445.585075484278	6235.004929426994	8243.90392872645	4087.5979295366083	6413.579869746923	8605.59682463135	7817.348087448394	7068.1799907055165	8543.909712976149	5046.761681621961	7602.582910182628	2869.468815981977	7036.720483554312	8933.076889345803	9474.713758034899	9240.414895427071	7941.312337848072	4916.811067916736	11138.252889033076	9682.254016258488	7233.716548430918	14404.511500962351	10127.15806775041	6910.800295636338	8058.007582478893	7507.339010006353	6910.23191951449	6818.928741154316	10002.716583187275	5053.615921991799	12925.340937148609	7010.182202407486	10348.052150672826	13305.923242907253	11926.620917603137	2991.98645153046	8894.905253925384	12038.349343676588	10863.925758002362	9842.194539917324	9963.285365681357	9809.528415041585	12388.917283377317	9982.464085365988	8503.303450382606	6706.067576527885	9752.891398141412	5950.950000795325	11892.827556606317	4314.850199503573	5439.5720600617105	5809.6069447067875	9204.35184205659	3335.976736259959	6022.542881585738	10081.29951952962	9642.775304580573	5586.935953481751	6513.896982103653	8027.435812599658	11238.025025063323	9334.93173763418	7133.527896869013	8599.790427108695	6146.579272221168	9403.753248923409	9648.640788660645	7723.996489666784	12496.092727568765	4494.862374322566	6517.273825586954	10281.605164857543	6526.041626192195	11668.460890828792	15690.972037654314	3728.815663426758	6316.914525555044	12013.70138767813	10508.90968991178	9780.727941350684	7960.9586755380715	13101.011347515383	12817.069620756518	4075.1155194734333
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	2069.3589762491124	1213.7708280753893	870.6095324276472	515.9044992356273	3881.8826633338977	3337.4270882066603	2602.569273260749	53.54977639532341	3041.925003669044	2658.7721662195668	3630.9837145152947	845.3061880585831	1352.4024929635361	4333.71877168392	2148.027443368965	214.67661525112263	1510.6251171930874	1045.978650932658	2289.1527262777067	194.69322578700886	1163.024861725503	1207.0622645009826	3257.8302604207847	41.66027823920177	2045.2756562703094	1251.4366477732456	3980.232032970555	1409.517903132796	2510.1677474326943	1085.2271483176723	4695.799270108461	850.5847572979293	3600.270446468068	2539.747899561313	4458.249959689615	1280.1526212137135	4801.017404282641	1083.0367968651547	5081.5846380469875	602.1181045667593	4377.53791914203	3829.152525670774	6543.3318500381065	268.3782425676585	2139.825357029451	3004.6448809682	4506.538566888953	439.9288009008269	5399.273754496369	1038.3483232143053	3798.437192673809	1058.34669269951	5170.319528182301	1707.589234292347	5736.966320523071	105.29225969625887	1906.5755245184912	3829.3332880384974	5760.178651802215	776.5154624193756	4147.635084706283	1392.627091608751	5493.6891940774385	1695.9004520201327	2902.010120247419	4088.786828380592	4044.436537243947	882.8185802772389	2706.365199697345	1525.469211913145	3644.970050662742	1140.5529293596046	1016.910676579414	848.1662549144977	2339.6266885161144	664.1137788070704	1297.0641479126955	824.7757828185253	2356.310016615716	1025.8911219971474	2507.196739223127	1744.7218654028675	3689.31710065332	638.2004078150368	3205.2337246739953	2815.957880050553	3213.8779539459133	1284.4086788022266	4806.800721210063	1688.5853379532266	2226.309396495444	1277.2049562619645	1229.1784152040414	3220.1881553536223	4961.956494428873	1004.592372717784	782.0519561102815	5590.016685545973	2460.110856629555	1082.4487871499744	1564.2942636092805	2698.403169817989	3631.244610300973	981.2030576677549
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	15326.539220370298	6490.292369397561	6330.901184556239	13588.552638455292	12218.769940013422	12536.112686365703	12189.43805107507	7498.19092829265	10194.706834482895	7998.120494584174	12768.513416112646	12374.246608081028	8245.44613416008	10689.699133897324	8005.111081518879	3875.947619697385	6823.04577088715	7558.441559520646	21151.421019699632	6483.523524178646	7300.183563913071	7834.889136851552	10818.761406995494	7192.149923285069	7881.436720513156	8384.185836800207	7416.368832495321	9885.908898518035	11511.037219001932	10630.46085377775	6537.540075949499	6192.915318344048	5553.605991744141	9639.092689288631	10067.187777820407	13472.28122236066	7013.897666249168	7672.967215055442	10810.964981200146	13102.449562078982	13636.121476700606	9511.322336148542	8298.014827416446	12623.251240642554	14423.241466952008	12218.936625309252	9211.38222987586	13518.932982180677	7806.627941562606	9000.549142730992	14923.794911246203	14064.563986295425	10509.071644614332	9808.317168040388	12946.55748416298	12683.50530956214	9458.64940978341	12579.024787464818	11495.89633643479	12232.338855786224	10460.413560617626	36087.29161762292	14657.190606818973	15436.857527448214	13259.186710576492	13564.346844876318	12740.254138669543	12776.505187736666	20068.39630593009	6965.716200329707	8216.000727129907	12561.215621577738	10179.780231393208	39356.40886601119	7436.956496176845	16869.12976684443	14835.068802132268	16863.981369669833	9776.430907976974	14384.827314075646	12762.130596244391	17133.94596712018	11346.822573618354	14814.994774776655	6944.038757373243	16083.70376393316	10126.560013907014	8528.816162004863	14043.976720779052	13689.39113980085	8445.270149485403	14189.797801423967	10925.538106257152	16452.349676975686	18681.604925027463	5187.859881121854	8282.043694587763	19292.75944948592	14502.988993720957	16106.042967388394	12011.251813126231	11209.812978584305	12141.48961121026	7361.174481476053
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	31690.905854507222	14259.717969394522	10368.791995205554	20012.549182487317	23907.025976467856	31041.274471184865	21147.061250145987	14281.854922169978	21241.597113816548	19592.587987588602	26486.80281196524	25089.791138491502	15108.985102773415	27021.84649355752	17303.045047572043	12894.40653469298	14879.819650888829	19137.597088049097	31169.984107247165	11560.702510371717	17087.78642281926	18840.7995900475	23289.19862609948	12775.307283150774	17936.021969801954	23943.797559020768	15171.338737787017	18264.837122314384	22597.093961083126	27360.32605631065	17840.640372199316	12667.481601336289	15721.103595327451	26088.551725324953	26627.523340580497	24674.61735317521	15949.302562388051	19947.121411126787	30870.052826626725	24480.215920033283	28898.99795654214	33174.9606926641	25125.85463594185	20610.505335038666	24743.119177070053	28237.148222945558	19675.307865651732	15579.886340287649	24643.799647995766	29363.420134750333	35138.8266166581	27004.260793510428	28753.69859105747	34977.9001348115	35840.83071626196	18708.348586104392	32510.682025627797	34233.594891924746	29502.776184401348	22459.004088200592	28611.03559778712	51140.114121420076	37897.547618155855	31081.169486527142	28360.210538596908	34529.799829279706	32095.248344990705	23505.74693597813	36075.44572490067	20984.04990253735	15969.664634446077	19287.239012991133	27297.86993729917	44715.329006326014	26882.191778719247	25837.310622788737	28015.30853477517	35032.461819558965	19575.171903956525	18893.05071490681	23852.267955003503	38981.515886838184	21477.799809663422	23863.8393178143	11780.199707562537	36188.78205841806	21937.676737264257	18354.18137051528	28953.89950218908	27896.706043200284	18185.11056177185	22804.006716202435	18581.852858224083	38520.89608441442	36201.8740824141	8149.191299898858	15249.621951704183	42287.60323744738	26956.469300421148	25046.19945894136	17941.084774468567	26786.95537136293	25012.723753642662	12584.21643973168
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	34311.30288819303	15527.126709953052	11028.28741192362	20833.83219596768	25553.80994780951	32928.8855709117	21983.471413115087	13619.648944946735	22660.301569532003	20588.189562972788	28068.87429058648	27067.03798554396	16336.856116476878	28649.607026085065	18396.84600720958	13382.100624780838	15848.19347317906	20320.93742544645	32201.027797354418	11418.712793327251	18086.617622449736	19989.96894115197	24775.419177503663	13051.6950871912	19179.419531072195	26284.54439402209	15931.494671812432	19428.005881909787	24185.83513278236	29672.471506022997	17410.522486274247	13605.071686832678	17735.111047845006	28042.452059280717	28306.936187477	26507.515055649917	17127.14640350521	21444.617765303854	32739.782750143237	26008.947884905792	30883.973984164033	35414.120873787346	26877.964657086144	22239.540003127335	25954.448336678397	29475.712530403594	21033.602207915777	16162.447733957486	26377.97971394751	31607.590290035536	37118.4609549103	28843.6819583994	30962.370614364605	38531.33464971005	37988.243529547435	19682.359194807505	35756.71956875063	37318.0775025566	31493.723561502076	23101.197003132358	30657.737508859318	54916.13419452671	40044.340417089225	33190.7426516609	30203.112480379918	38028.92212089562	34524.47200602736	25079.64849834059	37874.519048283575	20311.407321615305	17172.193784000843	20024.68818083804	28723.307331984204	47548.89103127935	24435.596089233382	26999.532020837207	29533.61577287503	36426.74985426109	20745.77591545917	19964.49503805169	25346.948426041847	41028.07059307246	22780.792017269512	25807.967567871845	12617.022706274218	38367.3704416996	23298.526609731212	19693.97510935875	30766.856167903832	29801.093945742614	19452.90608546654	24148.825725169212	18899.234682496288	41321.15663691507	38496.29395377265	8730.949906557817	15311.531272501541	45386.4556717648	28274.22909861771	26427.733358510523	18831.732232757186	28709.555090921727	26465.8157552066	13334.537676476897
