pathway	12858.0BR.3.R1.fastq.gz	12858.0KC.2.R1.fastq.gz	12858.0MR.4.R1.fastq.gz	12858.0TB.1.R1.fastq.gz	12858.10BR.49.R1.fastq.gz	12858.10KC.47.R1.fastq.gz	12858.10MR.50.R1.fastq.gz	12858.10TB.46.R1.fastq.gz	12858.11BR.52.R1.fastq.gz	12858.11KC.51.R1.fastq.gz	12858.11MR.53.R1.fastq.gz	12858.11TB.81.R1.fastq.gz	12858.12BR.56.R1.fastq.gz	12858.12KC.55.R1.fastq.gz	12858.12MR.57.R1.fastq.gz	12858.12TB.54.R1.fastq.gz	12858.13BR.60.R1.fastq.gz	12858.13KC.59.R1.fastq.gz	12858.13MR.61.R1.fastq.gz	12858.13TB.58.R1.fastq.gz	12858.14BR.64.R1.fastq.gz	12858.14KC.63.R1.fastq.gz	12858.14MR.65.R1.fastq.gz	12858.14TB.62.R1.fastq.gz	12858.15BR.68.R1.fastq.gz	12858.15KC.67.R1.fastq.gz	12858.15MR.69.R1.fastq.gz	12858.15TB.66.R1.fastq.gz	12858.16BR.72.R1.fastq.gz	12858.16KC.71.R1.fastq.gz	12858.16MR.73.R1.fastq.gz	12858.16TB.70.R1.fastq.gz	12858.17BR.76.R1.fastq.gz	12858.17KC.75.R1.fastq.gz	12858.17MR.77.R1.fastq.gz	12858.17TB.74.R1.fastq.gz	12858.18BR.82.R1.fastq.gz	12858.18KC.79.R1.fastq.gz	12858.18MR.83.R1.fastq.gz	12858.18TB.78.R1.fastq.gz	12858.19BR.86.R1.fastq.gz	12858.19KC.85.R1.fastq.gz	12858.19MR.87.R1.fastq.gz	12858.19TB.84.R1.fastq.gz	12858.1BR.7.R1.fastq.gz	12858.1KC.6.R1.fastq.gz	12858.1MR.8.R1.fastq.gz	12858.1TB.5.R1.fastq.gz	12858.20BR.90.R1.fastq.gz	12858.20KC.89.R1.fastq.gz	12858.20MR.91.R1.fastq.gz	12858.20TB.88.R1.fastq.gz	12858.21BR.94.R1.fastq.gz	12858.21KC.93.R1.fastq.gz	12858.21MR.95.R1.fastq.gz	12858.21TB.92.R1.fastq.gz	12858.22BR.98.R1.fastq.gz	12858.22KC.97.R1.fastq.gz	12858.22MR.99.R1.fastq.gz	12858.22TB.96.R1.fastq.gz	12858.23BR.102.R1.fastq.gz	12858.23KC.101.R1.fastq.gz	12858.23MR.103.R1.fastq.gz	12858.23TB.100.R1.fastq.gz	12858.24BR.106.R1.fastq.gz	12858.24KC.105.R1.fastq.gz	12858.24MR.107.R1.fastq.gz	12858.24TB.104.R1.fastq.gz	12858.2ABR.15.R1.fastq.gz	12858.2AKC.10.R1.fastq.gz	12858.2AMR.12.R1.fastq.gz	12858.2ATB.9.R1.fastq.gz	12858.2BBR.11.R1.fastq.gz	12858.2BKC.14.R1.fastq.gz	12858.2BMR.16.R1.fastq.gz	12858.2BTB.13.R1.fastq.gz	12858.3BR.19.R1.fastq.gz	12858.3KC.18.R1.fastq.gz	12858.3MR.20.R1.fastq.gz	12858.3TB.17.R1.fastq.gz	12858.4BR.23.R1.fastq.gz	12858.4KC.22.R1.fastq.gz	12858.4MR.25.R1.fastq.gz	12858.4TB.21.R1.fastq.gz	12858.5BR.28.R1.fastq.gz	12858.5KC.27.R1.fastq.gz	12858.5MR.29.R1.fastq.gz	12858.5TB.26.R1.fastq.gz	12858.6BR.32.R1.fastq.gz	12858.6KC.31.R1.fastq.gz	12858.6MR.33.R1.fastq.gz	12858.6TB.30.R1.fastq.gz	12858.7BR.36.R1.fastq.gz	12858.7KC.35.R1.fastq.gz	12858.7MR.37.R1.fastq.gz	12858.7TB.34.R1.fastq.gz	12858.8BR.40.R1.fastq.gz	12858.8KC.39.R1.fastq.gz	12858.8MR.41.R1.fastq.gz	12858.8TB.38.R1.fastq.gz	12858.9BR.44.R1.fastq.gz	12858.9KC.43.R1.fastq.gz	12858.9MR.45.R1.fastq.gz	12858.9TB.42.R1.fastq.gz
N10-formyl-tetrahydrofolate-biosynthesis	32347.7443	18981.90883	11398.26685	21140.27577	24950.16252	30672.64598	22741.76739	19012.29734	22210.13116	20122.7457	28031.38366	27774.7289	14218.28409	26898.98736	17935.20403	13609.09136	15116.36346	19028.96503	25064.93962	13331.96321	18272.83	19642.77924	22866.35571	14521.38797	19192.8841	25061.18719	15478.43106	20168.342	23174.19664	29272.10872	18737.14621	13034.63971	18968.5681	26900.43797	29196.22138	27474.28806	16815.32232	19799.71523	30326.0228	27321.07575	29780.41	36134.84639	28451.86362	20465.25584	25575.96592	31970.59496	21956.45477	16218.35884	26380.3317	29343.27177	37314.81274	27280.5634	29942.28635	36760.72492	34415.82933	16971.40061	32409.63247	35410.42102	30278.224	25102.03855	30298.85829	49186.96511	37623.66728	33488.39052	30562.64137	36655.893	32931.55596	22242.7664	36472.94531	17548.9281	17964.90681	19540.77811	26573.8832	42194.19064	21604.14968	27786.50314	30180.4584	34327.19722	20453.65249	18904.78167	24764.2602	39708.38386	21262.728	24113.01174	11256.60651	34681.77713	24713.67606	18785.4391	29642.1439	26932.57327	20286.00278	24754.71868	16553.18097	42529.58415	37132.52186	8694.62847	19248.38946	45656.80879	27884.08431	26134.2327	19104.83833	26052.8101	25527.62705	12705.72111
4-hydroxyphenylacetate-degradation	3595.3878	1617.17576	1476.40539	3310.02419	1777.85714	5243.69718	1125.72028	292.42261	1796.74209	1646.0464	1913.686535	1865.6941	1750.82221	2863.7997	1496.43455	565.40857	1574.862674	1553.22055	794.54281	96.51301	1401.1026	1387.03242	1681.88332	198.8863	986.06403	2694.84632	1331.87673	1249.34543	2288.53205	3081.759573	1500.29511	527.41557	1425.04904	4096.83199	2616.84837	3476.51616	2740.8305	2796.12716	1975.5273	2890.40702	1710.269	1986.17165	2437.98146	1827.08987	1070.83949	1896.64373	2804.63626	545.18114	1874.37827	2226.40461	1093.71869	2293.1567	1975.62549	2890.75196	2561.33111	98.30536	2604.55497	4257.07951	1952.1809	841.7591	1004.72484	3766.14494	2365.19012	1622.13897	1756.71251	5044.176531	2109.25895	757.0725	3140.30779	452.9901	1545.52229	1313.35658	625.7094	33704.58157	1206.74033	1520.53528	2143.7657	1637.691234	1101.03627	1070.29004	648.0743	3734.60961	1744.7939	3541.78215	1508.90805	3544.8114	1416.05686	1048.7324	1747.1446	6404.50574	720.84929	895.55787	954.66818	6807.94485	3975.04091	534.07251	1467.83107	6926.31952	916.86369	1436.0366	2407.82217	3311.7517	1620.370024	1029.80079
superpathway-of-chorismate-metabolism	11103.4679	4792.92633	4630.07091	2509.3606	12748.67608	15228.61281	13071.40872	2055.80364	10152.52323	6272.5075	14925.89393	5774.1798	6461.13211	10025.06889	8771.84189	2625.27248	6711.872417	5673.42003	5040.20795	863.1121	7539.6949	4193.77486	11727.56606	2365.91365	8686.7314	8406.18967	9316.83755	5239.787211	12451.14381	4310.952119	9088.01692	2523.66662	8175.79636	9831.41147	12586.60412	7197.32624	8232.7946	7094.48525	15431.9441	7104.5881	12498.13	12579.78795	14810.49982	5676.04251	9165.43622	9973.92243	11855.58559	5166.94087	13664.79286	11284.81512	17119.59412	8255.3705	13794.60561	14103.23169	17052.58754	1592.92997	11142.12967	13427.17792	15342.4768	4829.23059	13733.36943	3414.15432	15710.2234	9322.77033	11053.20008	11002.35956	14773.99042	5399.6426	18862.18693	8780.163	9044.97116	4629.55289	13198.3674	1465.60452	10016.74724	7170.18162	11152.8258	3075.942612	9700.30952	6449.75696	8732.9594	17723.12741	9206.3399	7707.71465	3462.62974	15815.96485	13105.40602	6579.4227	8757.5415	11792.39069	10152.9554	6274.46171	7417.8356	15345.18601	18462.76852	3352.73593	5592.19403	18011.6442	12958.02424	8142.8658	6786.89063	11598.3185	14794.44264	4391.74692
homolactic-fermentation	32713.8342	26110.11884	12748.95041	24047.50214	24565.2544	29920.82222	23093.52249	28563.81521	23841.12849	17030.4745	27081.65288	32303.12	16645.59366	23370.38898	18350.78861	15613.40066	16968.42713	16090.72306	11760.20996	19540.72636	19693.5899	15387.39858	21678.11895	19868.88536	19544.37159	21234.35975	16328.14546	24906.02264	24829.48285	19602.762	13918.40063	16829.42495	15797.58182	23575.38938	23267.11816	33087.73323	13961.56916	16320.60741	30980.2538	29489.60915	30893.46	29868.76951	23904.08093	27991.31937	30281.03674	23738.74423	19541.9054	22549.06077	24266.00059	25447.92411	40960.30765	29284.5612	28404.92099	32636.12962	35533.07681	25735.1576	34661.68669	30321.80442	28801.071	32986.47293	30263.76857	26677.52365	36564.69604	40851.62248	34086.78748	26068.3724	32076.08786	27904.5401	37311.65616	24551.8393	17684.37455	25407.05151	28997.6379	10538.89978	33143.35756	31473.45625	32075.4734	38353.14997	23040.47101	25759.16405	26916.9598	35723.5707	22120.7038	26920.20603	7592.15825	33031.95407	24028.54778	18794.8613	33094.4571	24576.53892	21935.51659	31619.07207	22856.95828	32962.27599	34932.62968	10301.67818	25111.01252	35830.11838	32606.04987	36306.4469	20932.2253	24628.0265	24912.33139	14504.42948
glycolysis-III-(from-glucose)	33681.0543	27729.25709	12952.12378	27675.3511	26253.07343	32247.95608	24939.8308	29605.58022	24855.90511	19272.8306	28908.56875	33199.1145	17064.94393	24959.96709	19270.82533	17455.85714	17381.46609	17913.77368	12580.11563	19776.8086	20486.693	17723.10901	23150.97403	20324.35663	20245.42157	25794.40935	17586.44694	24549.67549	26036.94826	27586.95227	16161.2805	16982.45197	16744.03501	27103.00162	26209.7327	33019.21835	16317.6942	20527.43499	33754.2693	31260.70663	31955.82	34935.7824	27776.94946	28207.25469	30093.0998	27070.23182	21789.19238	22477.00765	27495.57882	30620.30303	42728.87277	31279.2476	30379.82068	38384.74663	38132.49791	25504.15764	36428.35065	35098.01164	31295.1143	32852.04402	31795.98681	32053.7355	38871.80094	41003.72606	35157.82032	33471.27112	34260.14908	27589.1289	39096.88213	25255.3456	18188.66046	26018.5171	31778.5581	19057.24535	33877.22257	34029.28481	32654.2212	35850.63859	23236.24976	25443.64299	27392.5145	40289.88868	23732.8378	27472.11015	9739.77488	35253.3016	25628.54321	20042.3905	33326.6526	26649.32559	22155.94222	31659.17458	23272.53012	40357.61365	38295.0537	10413.42586	25850.29294	43534.76704	33385.13799	36044.3484	21404.90433	25760.1833	26869.91514	14770.73074
superpathway-of-arginine-and-polyamine-biosynthesis	7202.2293	2886.67231	3007.80007	7073.76305	10466.07775	11030.06875	9661.68013	6133.76484	8965.92513	10364.1287	12185.83186	9421.495	6644.48359	9272.58995	7361.80263	5475.97296	6693.0918	5121.20436	7207.15571	4567.7734	5445.5851	6235.00493	8243.90393	4087.59793	6413.57987	8605.59683	7817.34809	7068.179991	8543.90971	5046.761682	7602.58291	2869.46882	7036.72048	8933.07689	9474.71376	9240.41489	7941.31234	4916.81107	11138.2529	9682.25402	7233.717	14404.5115	10127.15807	6910.8003	8058.00758	7507.33901	6910.23192	6818.92874	10002.71658	5053.61592	12925.34094	7010.1822	10348.05215	13305.92324	11926.62092	2991.98645	8894.90525	12038.34934	10863.9258	9842.19454	9963.28537	9809.52842	12388.91728	9982.46408	8503.30345	6706.067577	9752.8914	5950.95	11892.82756	4314.8502	5439.57206	5809.60695	9204.3518	3335.97674	6022.54288	10081.29952	9642.7753	5586.935953	6513.89698	8027.43581	11238.025	9334.93174	7133.5279	8599.79043	6146.57927	9403.75325	9648.64079	7723.9965	12496.0927	4494.862374	6517.27383	10281.60516	6526.04163	11668.46089	15690.97204	3728.81566	6316.91453	12013.70139	10508.90969	9780.7279	7960.95868	13101.0114	12817.06962	4075.11552
superpathway-of-L-arginine-putrescine-and-4-aminobutanoate-degradation	2069.359	1213.77083	870.60953	515.9045	3881.88266	3337.42709	2602.56927	53.54978	3041.925	2658.7722	3630.983715	845.3062	1352.40249	4333.71877	2148.02744	214.67662	1510.625117	1045.97865	2289.15273	194.69323	1163.0249	1207.06227	3257.83026	41.66028	2045.27566	1251.43665	3980.23203	1409.517903	2510.16775	1085.227148	4695.79927	850.58476	3600.27045	2539.7479	4458.24996	1280.15262	4801.0174	1083.0368	5081.5846	602.1181	4377.538	3829.15253	6543.33185	268.37824	2139.82536	3004.64488	4506.53857	439.9288	5399.27375	1038.34832	3798.43719	1058.3467	5170.31953	1707.58923	5736.96632	105.29226	1906.57552	3829.33329	5760.1787	776.51546	4147.63508	1392.62709	5493.68919	1695.90045	2902.01012	4088.786828	4044.43654	882.8186	2706.3652	1525.4692	3644.97005	1140.55293	1016.9107	848.16625	2339.62669	664.11378	1297.0641	824.775783	2356.31002	1025.89112	2507.1967	1744.72186	3689.3171	638.20041	3205.23373	2815.95788	3213.87795	1284.4087	4806.8007	1688.585338	2226.3094	1277.20496	1229.17842	3220.18815	4961.95649	1004.59237	782.05196	5590.01669	2460.11086	1082.4488	1564.29426	2698.4032	3631.24461	981.20306
arginine-ornithine-and-proline-interconversion	15326.5392	6490.29237	6330.90118	13588.55264	12218.76994	12536.11269	12189.43805	7498.19093	10194.70683	7998.1205	12768.51342	12374.2466	8245.44613	10689.69913	8005.11108	3875.94762	6823.045771	7558.44156	21151.42102	6483.52352	7300.1836	7834.88914	10818.76141	7192.14992	7881.43672	8384.18584	7416.36883	9885.908899	11511.03722	10630.46085	6537.54008	6192.91532	5553.60599	9639.09269	10067.18778	13472.28122	7013.89767	7672.96721	10810.965	13102.44956	13636.12	9511.32234	8298.01483	12623.25124	14423.24147	12218.93663	9211.38223	13518.93298	7806.62794	9000.54914	14923.79491	14064.564	10509.07164	9808.31717	12946.55748	12683.50531	9458.64941	12579.02479	11495.8963	12232.33886	10460.41356	36087.29162	14657.19061	15436.85753	13259.18671	13564.34684	12740.25414	12776.5052	20068.39631	6965.7162	8216.00073	12561.21562	10179.7802	39356.40887	7436.9565	16869.12977	14835.0688	16863.98137	9776.43091	14384.82731	12762.1306	17133.94597	11346.8226	14814.99477	6944.03876	16083.70376	10126.56001	8528.8162	14043.9767	13689.39114	8445.27015	14189.7978	10925.53811	16452.34968	18681.60493	5187.85988	8282.0437	19292.75945	14502.98899	16106.043	12011.25181	11209.813	12141.48961	7361.17448
L-arginine-biosynthesis-I-(via-L-ornithine)	31690.9058	14259.71797	10368.792	20012.54918	23907.02598	31041.27447	21147.06125	14281.85492	21241.59711	19592.588	26486.80281	25089.7911	15108.9851	27021.84649	17303.04505	12894.40653	14879.81965	19137.59709	31169.98411	11560.70251	17087.7864	18840.79959	23289.19863	12775.30728	17936.02197	23943.79756	15171.33874	18264.83712	22597.09396	27360.32606	17840.64037	12667.4816	15721.1036	26088.55173	26627.52334	24674.61735	15949.30256	19947.12141	30870.0528	24480.21592	28899	33174.96069	25125.85464	20610.50534	24743.11918	28237.14822	19675.30787	15579.88634	24643.79965	29363.42013	35138.82662	27004.2608	28753.69859	34977.90013	35840.83072	18708.34859	32510.68203	34233.59489	29502.7762	22459.00409	28611.0356	51140.11412	37897.54762	31081.16949	28360.21054	34529.79983	32095.24834	23505.7469	36075.44572	20984.0499	15969.66463	19287.23901	27297.8699	44715.32901	26882.19178	25837.31062	28015.3085	35032.46182	19575.1719	18893.05071	23852.268	38981.51589	21477.7998	23863.83932	11780.19971	36188.78206	21937.67674	18354.1814	28953.8995	27896.70604	18185.11056	22804.00672	18581.85286	38520.89608	36201.87408	8149.1913	15249.62195	42287.60324	26956.4693	25046.1995	17941.08477	26786.9554	25012.72375	12584.21644
L-arginine-biosynthesis-II-(acetyl-cycle)	34311.3029	15527.12671	11028.28741	20833.8322	25553.80995	32928.88557	21983.47141	13619.64894	22660.30157	20588.1896	28068.87429	27067.038	16336.85612	28649.60703	18396.84601	13382.10062	15848.19347	20320.93743	32201.0278	11418.71279	18086.6176	19989.96894	24775.41918	13051.69509	19179.41953	26284.54439	15931.49467	19428.00588	24185.83513	29672.47151	17410.52249	13605.07169	17735.11105	28042.45206	28306.93619	26507.51506	17127.1464	21444.61777	32739.7827	26008.94788	30883.97	35414.12087	26877.96466	22239.54	25954.44834	29475.71253	21033.60221	16162.44773	26377.97971	31607.59029	37118.46095	28843.682	30962.37061	38531.33465	37988.24353	19682.35919	35756.71957	37318.0775	31493.7236	23101.197	30657.73751	54916.13419	40044.34042	33190.74265	30203.11248	38028.92212	34524.47201	25079.6485	37874.51905	20311.4073	17172.19378	20024.68818	28723.3073	47548.89103	24435.59609	26999.53202	29533.6158	36426.74985	20745.77592	19964.49504	25346.9484	41028.07059	22780.792	25807.96757	12617.02271	38367.37044	23298.52661	19693.9751	30766.8562	29801.09395	19452.90609	24148.82573	18899.23468	41321.15664	38496.29395	8730.94991	15311.53127	45386.45567	28274.2291	26427.7334	18831.73223	28709.5551	26465.81576	13334.53768
