pathway,processes,12858.0BR.3.R1.fastq.gz,12858.0KC.2.R1.fastq.gz,12858.0MR.4.R1.fastq.gz,12858.0TB.1.R1.fastq.gz,12858.10BR.49.R1.fastq.gz,12858.10KC.47.R1.fastq.gz,12858.10MR.50.R1.fastq.gz,12858.10TB.46.R1.fastq.gz,12858.11BR.52.R1.fastq.gz,12858.11KC.51.R1.fastq.gz,12858.11MR.53.R1.fastq.gz,12858.11TB.81.R1.fastq.gz,12858.12BR.56.R1.fastq.gz,12858.12KC.55.R1.fastq.gz,12858.12MR.57.R1.fastq.gz,12858.12TB.54.R1.fastq.gz,12858.13BR.60.R1.fastq.gz,12858.13KC.59.R1.fastq.gz,12858.13MR.61.R1.fastq.gz,12858.13TB.58.R1.fastq.gz,12858.14BR.64.R1.fastq.gz,12858.14KC.63.R1.fastq.gz,12858.14MR.65.R1.fastq.gz,12858.14TB.62.R1.fastq.gz,12858.15BR.68.R1.fastq.gz,12858.15KC.67.R1.fastq.gz,12858.15MR.69.R1.fastq.gz,12858.15TB.66.R1.fastq.gz,12858.16BR.72.R1.fastq.gz,12858.16KC.71.R1.fastq.gz,12858.16MR.73.R1.fastq.gz,12858.16TB.70.R1.fastq.gz,12858.17BR.76.R1.fastq.gz,12858.17KC.75.R1.fastq.gz,12858.17MR.77.R1.fastq.gz,12858.17TB.74.R1.fastq.gz,12858.18BR.82.R1.fastq.gz,12858.18KC.79.R1.fastq.gz,12858.18MR.83.R1.fastq.gz,12858.18TB.78.R1.fastq.gz,12858.19BR.86.R1.fastq.gz,12858.19KC.85.R1.fastq.gz,12858.19MR.87.R1.fastq.gz,12858.19TB.84.R1.fastq.gz,12858.1BR.7.R1.fastq.gz,12858.1KC.6.R1.fastq.gz,12858.1MR.8.R1.fastq.gz,12858.1TB.5.R1.fastq.gz,12858.20BR.90.R1.fastq.gz,12858.20KC.89.R1.fastq.gz,12858.20MR.91.R1.fastq.gz,12858.20TB.88.R1.fastq.gz,12858.21BR.94.R1.fastq.gz,12858.21KC.93.R1.fastq.gz,12858.21MR.95.R1.fastq.gz,12858.21TB.92.R1.fastq.gz,12858.22BR.98.R1.fastq.gz,12858.22KC.97.R1.fastq.gz,12858.22MR.99.R1.fastq.gz,12858.22TB.96.R1.fastq.gz,12858.23BR.102.R1.fastq.gz,12858.23KC.101.R1.fastq.gz,12858.23MR.103.R1.fastq.gz,12858.23TB.100.R1.fastq.gz,12858.24BR.106.R1.fastq.gz,12858.24KC.105.R1.fastq.gz,12858.24MR.107.R1.fastq.gz,12858.24TB.104.R1.fastq.gz,12858.2ABR.15.R1.fastq.gz,12858.2AKC.10.R1.fastq.gz,12858.2AMR.12.R1.fastq.gz,12858.2ATB.9.R1.fastq.gz,12858.2BBR.11.R1.fastq.gz,12858.2BKC.14.R1.fastq.gz,12858.2BMR.16.R1.fastq.gz,12858.2BTB.13.R1.fastq.gz,12858.3BR.19.R1.fastq.gz,12858.3KC.18.R1.fastq.gz,12858.3MR.20.R1.fastq.gz,12858.3TB.17.R1.fastq.gz,12858.4BR.23.R1.fastq.gz,12858.4KC.22.R1.fastq.gz,12858.4MR.25.R1.fastq.gz,12858.4TB.21.R1.fastq.gz,12858.5BR.28.R1.fastq.gz,12858.5KC.27.R1.fastq.gz,12858.5MR.29.R1.fastq.gz,12858.5TB.26.R1.fastq.gz,12858.6BR.32.R1.fastq.gz,12858.6KC.31.R1.fastq.gz,12858.6MR.33.R1.fastq.gz,12858.6TB.30.R1.fastq.gz,12858.7BR.36.R1.fastq.gz,12858.7KC.35.R1.fastq.gz,12858.7MR.37.R1.fastq.gz,12858.7TB.34.R1.fastq.gz,12858.8BR.40.R1.fastq.gz,12858.8KC.39.R1.fastq.gz,12858.8MR.41.R1.fastq.gz,12858.8TB.38.R1.fastq.gz,12858.9BR.44.R1.fastq.gz,12858.9KC.43.R1.fastq.gz,12858.9MR.45.R1.fastq.gz,12858.9TB.42.R1.fastq.gz
1CMET2-PWY,N10-formyl-tetrahydrofolate-biosynthesis,32347.74426,18981.90883,11398.26685,21140.27577,24950.16252,30672.64598,22741.76739,19012.29734,22210.13116,20122.74574,28031.38366,27774.7289,14218.28409,26898.98736,17935.20403,13609.09136,15116.36346,19028.96503,25064.93962,13331.96321,18272.83002,19642.77924,22866.35571,14521.38797,19192.8841,25061.18719,15478.43106,20168.342,23174.19664,29272.10872,18737.14621,13034.63971,18968.5681,26900.43797,29196.22138,27474.28806,16815.32232,19799.71523,30326.02284,27321.07575,29780.40511,36134.84639,28451.86362,20465.25584,25575.96592,31970.59496,21956.45477,16218.35884,26380.3317,29343.27177,37314.81274,27280.56335,29942.28635,36760.72492,34415.82933,16971.40061,32409.63247,35410.42102,30278.22398,25102.03855,30298.85829,49186.96511,37623.66728,33488.39052,30562.64137,36655.893,32931.55596,22242.76636,36472.94531,17548.9281,17964.90681,19540.77811,26573.88318,42194.19064,21604.14968,27786.50314,30180.45845,34327.19722,20453.65249,18904.78167,24764.26021,39708.38386,21262.72799,24113.01174,11256.60651,34681.77713,24713.67606,18785.43906,29642.14386,26932.57327,20286.00278,24754.71868,16553.18097,42529.58415,37132.52186,8694.628468,19248.38946,45656.80879,27884.08431,26134.2327,19104.83833,26052.81009,25527.62705,12705.72111
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,4-hydroxyphenylacetate-degradation,3595.387784,1617.175763,1476.405394,3310.024195,1777.857143,5243.697182,1125.720284,292.4226109,1796.742093,1646.046432,1913.686535,1865.694105,1750.822211,2863.799705,1496.434554,565.4085701,1574.862674,1553.220553,794.5428122,96.51300959,1401.102581,1387.03242,1681.883319,198.8863005,986.0640251,2694.846323,1331.876734,1249.34543,2288.532048,3081.759573,1500.295106,527.415569,1425.049043,4096.831988,2616.848368,3476.516156,2740.830503,2796.127161,1975.527332,2890.407019,1710.269091,1986.171652,2437.981465,1827.089874,1070.839488,1896.643734,2804.636257,545.1811436,1874.378272,2226.404608,1093.718689,2293.156698,1975.625491,2890.751957,2561.331108,98.30535988,2604.554968,4257.079512,1952.180886,841.7591027,1004.724843,3766.14494,2365.19012,1622.138968,1756.712506,5044.176531,2109.258949,757.072524,3140.307792,452.9901301,1545.522291,1313.356581,625.709367,33704.58157,1206.740335,1520.535284,2143.765675,1637.691234,1101.036267,1070.290037,648.074313,3734.609606,1744.793857,3541.782147,1508.908051,3544.811404,1416.05686,1048.732369,1747.144565,6404.50574,720.8492893,895.557867,954.6681793,6807.944852,3975.040911,534.0725102,1467.831069,6926.319516,916.8636885,1436.036631,2407.822171,3311.75175,1620.370024,1029.800793
ALL-CHORISMATE-PWY,superpathway-of-chorismate-metabolism,11103.46794,4792.926332,4630.07091,2509.360599,12748.67608,15228.61281,13071.40872,2055.803635,10152.52323,6272.50751,14925.89393,5774.179827,6461.132114,10025.06889,8771.841893,2625.272484,6711.872417,5673.420034,5040.207949,863.1121037,7539.694895,4193.774864,11727.56606,2365.913655,8686.7314,8406.18967,9316.837546,5239.787211,12451.14381,4310.952119,9088.016924,2523.66662,8175.796361,9831.411468,12586.60412,7197.326239,8232.794601,7094.485249,15431.94413,7104.588096,12498.12873,12579.78795,14810.49982,5676.042512,9165.436222,9973.922428,11855.58559,5166.94087,13664.79286,11284.81512,17119.59412,8255.370496,13794.60561,14103.23169,17052.58754,1592.929974,11142.12967,13427.17792,15342.47676,4829.230589,13733.36943,3414.154323,15710.2234,9322.770329,11053.20008,11002.35956,14773.99042,5399.642611,18862.18693,8780.163009,9044.971157,4629.552892,13198.36737,1465.604525,10016.74724,7170.181618,11152.82581,3075.942612,9700.309524,6449.756958,8732.959363,17723.12741,9206.339881,7707.714655,3462.629739,15815.96485,13105.40602,6579.422702,8757.541545,11792.39069,10152.9554,6274.461713,7417.835604,15345.18601,18462.76852,3352.735926,5592.19403,18011.6442,12958.02424,8142.865829,6786.890631,11598.31854,14794.44264,4391.746921
ANAEROFRUCAT-PWY,homolactic-fermentation,32713.83418,26110.11884,12748.95041,24047.50214,24565.2544,29920.82222,23093.52249,28563.81521,23841.12849,17030.47454,27081.65288,32303.12,16645.59366,23370.38898,18350.78861,15613.40066,16968.42713,16090.72306,11760.20996,19540.72636,19693.58993,15387.39858,21678.11895,19868.88536,19544.37159,21234.35975,16328.14546,24906.02264,24829.48285,19602.762,13918.40063,16829.42495,15797.58182,23575.38938,23267.11816,33087.73323,13961.56916,16320.60741,30980.25382,29489.60915,30893.46075,29868.76951,23904.08093,27991.31937,30281.03674,23738.74423,19541.9054,22549.06077,24266.00059,25447.92411,40960.30765,29284.56124,28404.92099,32636.12962,35533.07681,25735.1576,34661.68669,30321.80442,28801.071,32986.47293,30263.76857,26677.52365,36564.69604,40851.62248,34086.78748,26068.3724,32076.08786,27904.54012,37311.65616,24551.83925,17684.37455,25407.05151,28997.63794,10538.89978,33143.35756,31473.45625,32075.47337,38353.14997,23040.47101,25759.16405,26916.95983,35723.5707,22120.70375,26920.20603,7592.158249,33031.95407,24028.54778,18794.86133,33094.45711,24576.53892,21935.51659,31619.07207,22856.95828,32962.27599,34932.62968,10301.67818,25111.01252,35830.11838,32606.04987,36306.44688,20932.2253,24628.02654,24912.33139,14504.42948
ANAGLYCOLYSIS-PWY,glycolysis-III-(from-glucose),33681.05428,27729.25709,12952.12378,27675.3511,26253.07343,32247.95608,24939.8308,29605.58022,24855.90511,19272.8306,28908.56875,33199.11453,17064.94393,24959.96709,19270.82533,17455.85714,17381.46609,17913.77368,12580.11563,19776.8086,20486.69297,17723.10901,23150.97403,20324.35663,20245.42157,25794.40935,17586.44694,24549.67549,26036.94826,27586.95227,16161.2805,16982.45197,16744.03501,27103.00162,26209.7327,33019.21835,16317.6942,20527.43499,33754.2693,31260.70663,31955.82226,34935.7824,27776.94946,28207.25469,30093.0998,27070.23182,21789.19238,22477.00765,27495.57882,30620.30303,42728.87277,31279.24755,30379.82068,38384.74663,38132.49791,25504.15764,36428.35065,35098.01164,31295.11427,32852.04402,31795.98681,32053.7355,38871.80094,41003.72606,35157.82032,33471.27112,34260.14908,27589.12891,39096.88213,25255.3456,18188.66046,26018.5171,31778.55813,19057.24535,33877.22257,34029.28481,32654.22119,35850.63859,23236.24976,25443.64299,27392.51451,40289.88868,23732.83784,27472.11015,9739.774878,35253.3016,25628.54321,20042.39052,33326.65263,26649.32559,22155.94222,31659.17458,23272.53012,40357.61365,38295.0537,10413.42586,25850.29294,43534.76704,33385.13799,36044.34836,21404.90433,25760.18328,26869.91514,14770.73074
ARG+POLYAMINE-SYN,superpathway-of-arginine-and-polyamine-biosynthesis,7202.229263,2886.672311,3007.800072,7073.763049,10466.07775,11030.06875,9661.680126,6133.764843,8965.925126,10364.12875,12185.83186,9421.495024,6644.483588,9272.589954,7361.802632,5475.97296,6693.0918,5121.204359,7207.155712,4567.773396,5445.585075,6235.004929,8243.903929,4087.59793,6413.57987,8605.596825,7817.348087,7068.179991,8543.909713,5046.761682,7602.58291,2869.468816,7036.720484,8933.076889,9474.713758,9240.414895,7941.312338,4916.811068,11138.25289,9682.254016,7233.716548,14404.5115,10127.15807,6910.800296,8058.007582,7507.33901,6910.23192,6818.928741,10002.71658,5053.615922,12925.34094,7010.182202,10348.05215,13305.92324,11926.62092,2991.986452,8894.905254,12038.34934,10863.92576,9842.19454,9963.285366,9809.528415,12388.91728,9982.464085,8503.30345,6706.067577,9752.891398,5950.950001,11892.82756,4314.8502,5439.57206,5809.606945,9204.351842,3335.976736,6022.542882,10081.29952,9642.775305,5586.935953,6513.896982,8027.435813,11238.02503,9334.931738,7133.527897,8599.790427,6146.579272,9403.753249,9648.640789,7723.99649,12496.09273,4494.862374,6517.273826,10281.60516,6526.041626,11668.46089,15690.97204,3728.815663,6316.914526,12013.70139,10508.90969,9780.727941,7960.958676,13101.01135,12817.06962,4075.115519
ARGDEG-PWY,superpathway-of-L-arginine-putrescine-and-4-aminobutanoate-degradation,2069.358976,1213.770828,870.6095324,515.9044992,3881.882663,3337.427088,2602.569273,53.5497764,3041.925004,2658.772166,3630.983715,845.3061881,1352.402493,4333.718772,2148.027443,214.6766153,1510.625117,1045.978651,2289.152726,194.6932258,1163.024862,1207.062265,3257.83026,41.66027824,2045.275656,1251.436648,3980.232033,1409.517903,2510.167747,1085.227148,4695.79927,850.5847573,3600.270446,2539.7479,4458.24996,1280.152621,4801.017404,1083.036797,5081.584638,602.1181046,4377.537919,3829.152526,6543.33185,268.3782426,2139.825357,3004.644881,4506.538567,439.9288009,5399.273754,1038.348323,3798.437193,1058.346693,5170.319528,1707.589234,5736.966321,105.2922597,1906.575525,3829.333288,5760.178652,776.5154624,4147.635085,1392.627092,5493.689194,1695.900452,2902.01012,4088.786828,4044.436537,882.8185803,2706.3652,1525.469212,3644.970051,1140.552929,1016.910677,848.1662549,2339.626689,664.1137788,1297.064148,824.7757828,2356.310017,1025.891122,2507.196739,1744.721865,3689.317101,638.2004078,3205.233725,2815.95788,3213.877954,1284.408679,4806.800721,1688.585338,2226.309396,1277.204956,1229.178415,3220.188155,4961.956494,1004.592373,782.0519561,5590.016686,2460.110857,1082.448787,1564.294264,2698.40317,3631.24461,981.2030577
ARGORNPROST-PWY,arginine-ornithine-and-proline-interconversion,15326.53922,6490.292369,6330.901185,13588.55264,12218.76994,12536.11269,12189.43805,7498.190928,10194.70683,7998.120495,12768.51342,12374.24661,8245.446134,10689.69913,8005.111082,3875.94762,6823.045771,7558.44156,21151.42102,6483.523524,7300.183564,7834.889137,10818.76141,7192.149923,7881.436721,8384.185837,7416.368832,9885.908899,11511.03722,10630.46085,6537.540076,6192.915318,5553.605992,9639.092689,10067.18778,13472.28122,7013.897666,7672.967215,10810.96498,13102.44956,13636.12148,9511.322336,8298.014827,12623.25124,14423.24147,12218.93663,9211.38223,13518.93298,7806.627942,9000.549143,14923.79491,14064.56399,10509.07164,9808.317168,12946.55748,12683.50531,9458.64941,12579.02479,11495.89634,12232.33886,10460.41356,36087.29162,14657.19061,15436.85753,13259.18671,13564.34684,12740.25414,12776.50519,20068.39631,6965.7162,8216.000727,12561.21562,10179.78023,39356.40887,7436.956496,16869.12977,14835.0688,16863.98137,9776.430908,14384.82731,12762.1306,17133.94597,11346.82257,14814.99477,6944.038757,16083.70376,10126.56001,8528.816162,14043.97672,13689.39114,8445.270149,14189.7978,10925.53811,16452.34968,18681.60493,5187.859881,8282.043695,19292.75945,14502.98899,16106.04297,12011.25181,11209.81298,12141.48961,7361.174481
ARGSYN-PWY,L-arginine-biosynthesis-I-(via-L-ornithine),31690.90585,14259.71797,10368.792,20012.54918,23907.02598,31041.27447,21147.06125,14281.85492,21241.59711,19592.58799,26486.80281,25089.79114,15108.9851,27021.84649,17303.04505,12894.40653,14879.81965,19137.59709,31169.98411,11560.70251,17087.78642,18840.79959,23289.19863,12775.30728,17936.02197,23943.79756,15171.33874,18264.83712,22597.09396,27360.32606,17840.64037,12667.4816,15721.1036,26088.55173,26627.52334,24674.61735,15949.30256,19947.12141,30870.05283,24480.21592,28898.99796,33174.96069,25125.85464,20610.50534,24743.11918,28237.14822,19675.30787,15579.88634,24643.79965,29363.42013,35138.82662,27004.26079,28753.69859,34977.90013,35840.83072,18708.34859,32510.68203,34233.59489,29502.77618,22459.00409,28611.0356,51140.11412,37897.54762,31081.16949,28360.21054,34529.79983,32095.24834,23505.74694,36075.44572,20984.0499,15969.66463,19287.23901,27297.86994,44715.32901,26882.19178,25837.31062,28015.30853,35032.46182,19575.1719,18893.05071,23852.26796,38981.51589,21477.79981,23863.83932,11780.19971,36188.78206,21937.67674,18354.18137,28953.8995,27896.70604,18185.11056,22804.00672,18581.85286,38520.89608,36201.87408,8149.1913,15249.62195,42287.60324,26956.4693,25046.19946,17941.08477,26786.95537,25012.72375,12584.21644
ARGSYNBSUB-PWY,L-arginine-biosynthesis-II-(acetyl-cycle),34311.30289,15527.12671,11028.28741,20833.8322,25553.80995,32928.88557,21983.47141,13619.64894,22660.30157,20588.18956,28068.87429,27067.03799,16336.85612,28649.60703,18396.84601,13382.10062,15848.19347,20320.93743,32201.0278,11418.71279,18086.61762,19989.96894,24775.41918,13051.69509,19179.41953,26284.54439,15931.49467,19428.00588,24185.83513,29672.47151,17410.52249,13605.07169,17735.11105,28042.45206,28306.93619,26507.51506,17127.1464,21444.61777,32739.78275,26008.94788,30883.97398,35414.12087,26877.96466,22239.54,25954.44834,29475.71253,21033.60221,16162.44773,26377.97971,31607.59029,37118.46095,28843.68196,30962.37061,38531.33465,37988.24353,19682.35919,35756.71957,37318.0775,31493.72356,23101.197,30657.73751,54916.13419,40044.34042,33190.74265,30203.11248,38028.92212,34524.47201,25079.6485,37874.51905,20311.40732,17172.19378,20024.68818,28723.30733,47548.89103,24435.59609,26999.53202,29533.61577,36426.74985,20745.77592,19964.49504,25346.94843,41028.07059,22780.79202,25807.96757,12617.02271,38367.37044,23298.52661,19693.97511,30766.85617,29801.09395,19452.90609,24148.82573,18899.23468,41321.15664,38496.29395,8730.949907,15311.53127,45386.45567,28274.2291,26427.73336,18831.73223,28709.55509,26465.81576,13334.53768
