Feature	domain	phylum	class	order	family	genus	species	ASV
c5559ba2671978176521fd30dfc9052d	Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	c5559ba2671978176521fd30dfc9052d
cc4278f72678aef782385c03beb44c81	Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	cc4278f72678aef782385c03beb44c81
9e22e79d327d76580f4067a4a9cca3a7	Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	9e22e79d327d76580f4067a4a9cca3a7
a75dd9df3ddbc18e36830f371970dce1	Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	a75dd9df3ddbc18e36830f371970dce1
648896b88bf41122ac738f1e91115c3f	Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	648896b88bf41122ac738f1e91115c3f
3ac1269246ed208cd50cb5b17bd09b33	Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	3ac1269246ed208cd50cb5b17bd09b33
50d33607812b5f9b84ee768ac9ca43cc	Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	50d33607812b5f9b84ee768ac9ca43cc
92343a1bbd3ac139db9935b5ad893000	Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	92343a1bbd3ac139db9935b5ad893000
658e90612cf6c1b77e100df39b0991e7	Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	658e90612cf6c1b77e100df39b0991e7
6ce13719a4ea2877b9a80ca765e0305c	Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	6ce13719a4ea2877b9a80ca765e0305c
2b422004ff5e75319d6f2df805df5ad3	Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	Unassigned_Bacteria	2b422004ff5e75319d6f2df805df5ad3
